card_name,set_name,number_in_set,printing_option,condition,market_price,image
Ampharos,Secret Wonders,1,Holofoil,Damaged,2.86,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Heavily Played,4.69,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Moderately Played,4.49,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Lightly Played,10.71,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Near Mint,19.12,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Damaged,2.46,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Heavily Played,2.17,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Moderately Played,6.35,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Lightly Played,9.35,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Near Mint,13.95,https://images.pokemontcg.io/dp3/1.png
Bulbasaur,Detective Pikachu,1,Normal,Damaged,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Heavily Played,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Moderately Played,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Lightly Played,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Near Mint,,https://images.pokemontcg.io/det1/1.png
Dratini,Dragon Vault,1,Holofoil,Damaged,0.7,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Heavily Played,1.32,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Moderately Played,1.11,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Lightly Played,1.27,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Near Mint,2.4,https://images.pokemontcg.io/dv1/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Damaged,1.36,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Heavily Played,1.34,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Moderately Played,2.76,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Lightly Played,6.38,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Near Mint,,https://images.pokemontcg.io/mcd19/1.png
Absol G,Supreme Victors,1,Holofoil,Damaged,2.98,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Heavily Played,3.07,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Moderately Played,8.22,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Lightly Played,9.09,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Near Mint,15.37,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Damaged,2.98,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Heavily Played,3.07,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Moderately Played,8.22,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Lightly Played,9.09,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Near Mint,15.37,https://images.pokemontcg.io/pl3/1.png
Aerodactyl,Legend Maker,1,Reverse Holofoil,Damaged,7.74,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Reverse Holofoil,Heavily Played,16.78,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Reverse Holofoil,Moderately Played,16.15,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Reverse Holofoil,Lightly Played,19.38,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Reverse Holofoil,Near Mint,45.99,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Holofoil,Damaged,7.74,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Holofoil,Heavily Played,16.78,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Holofoil,Moderately Played,16.15,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Holofoil,Lightly Played,19.38,https://images.pokemontcg.io/ex12/1.png
Aerodactyl,Legend Maker,1,Holofoil,Near Mint,45.99,https://images.pokemontcg.io/ex12/1.png
Absol,Dragon,1,Holofoil,Damaged,16.49,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Holofoil,Heavily Played,16.03,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Holofoil,Moderately Played,42.99,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Holofoil,Lightly Played,52.97,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Holofoil,Near Mint,52.54,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Damaged,16.49,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Heavily Played,16.03,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Moderately Played,42.99,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Lightly Played,52.97,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Near Mint,52.54,https://images.pokemontcg.io/ex3/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Damaged,32.59,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Heavily Played,43.98,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Moderately Played,68.52,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Lightly Played,103.81,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Near Mint,126.98,https://images.pokemontcg.io/ru1/1.png
Ampharos,Aquapolis,H1,Normal,Damaged,8.82,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Heavily Played,6.51,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Moderately Played,8.5,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Lightly Played,14.95,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Near Mint,22.99,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Damaged,8.82,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Heavily Played,6.51,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Moderately Played,8.5,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Lightly Played,14.95,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Near Mint,22.99,https://images.pokemontcg.io/ecard2/H1.png
