card_name,set_name,number_in_set,printing_option,condition,market_price,image
Aggron,Triumphant,1,Holofoil,Damaged,,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Holofoil,Heavily Played,1.99,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Holofoil,Moderately Played,2.21,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Holofoil,Lightly Played,2.71,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Holofoil,Near Mint,3.18,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Reverse Holofoil,Damaged,,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Reverse Holofoil,Heavily Played,1.99,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Reverse Holofoil,Moderately Played,2.21,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Reverse Holofoil,Lightly Played,2.71,https://images.pokemontcg.io/hgss4/1.png
Aggron,Triumphant,1,Reverse Holofoil,Near Mint,3.18,https://images.pokemontcg.io/hgss4/1.png
Weedle,Primal Clash,1,Normal,Damaged,,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Normal,Heavily Played,0.04,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Normal,Moderately Played,0.08,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Normal,Lightly Played,0.19,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Normal,Near Mint,0.13,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Reverse Holofoil,Damaged,,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Reverse Holofoil,Heavily Played,0.04,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Reverse Holofoil,Moderately Played,0.08,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Reverse Holofoil,Lightly Played,0.19,https://images.pokemontcg.io/xy5/1.png
Weedle,Primal Clash,1,Reverse Holofoil,Near Mint,0.13,https://images.pokemontcg.io/xy5/1.png
Ampharos,Platinum,1,Holofoil,Damaged,2.54,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Holofoil,Heavily Played,4.51,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Holofoil,Moderately Played,6.27,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Holofoil,Lightly Played,7.86,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Holofoil,Near Mint,11.01,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Reverse Holofoil,Damaged,2.54,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Reverse Holofoil,Heavily Played,4.51,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Reverse Holofoil,Moderately Played,6.27,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Reverse Holofoil,Lightly Played,7.86,https://images.pokemontcg.io/pl1/1.png
Ampharos,Platinum,1,Reverse Holofoil,Near Mint,11.01,https://images.pokemontcg.io/pl1/1.png
Ampharos,Secret Wonders,1,Holofoil,Damaged,2.86,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Heavily Played,4.69,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Moderately Played,4.49,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Lightly Played,10.71,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Holofoil,Near Mint,19.12,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Damaged,2.86,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Heavily Played,4.69,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Moderately Played,4.49,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Lightly Played,10.71,https://images.pokemontcg.io/dp3/1.png
Ampharos,Secret Wonders,1,Reverse Holofoil,Near Mint,19.12,https://images.pokemontcg.io/dp3/1.png
Bulbasaur,Detective Pikachu,1,Normal,Damaged,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Heavily Played,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Moderately Played,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Lightly Played,,https://images.pokemontcg.io/det1/1.png
Bulbasaur,Detective Pikachu,1,Normal,Near Mint,,https://images.pokemontcg.io/det1/1.png
Dratini,Dragon Vault,1,Holofoil,Damaged,0.7,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Heavily Played,1.32,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Moderately Played,1.11,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Lightly Played,1.27,https://images.pokemontcg.io/dv1/1.png
Dratini,Dragon Vault,1,Holofoil,Near Mint,2.4,https://images.pokemontcg.io/dv1/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Damaged,1.36,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Heavily Played,1.34,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Moderately Played,2.76,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Lightly Played,6.38,https://images.pokemontcg.io/mcd19/1.png
Caterpie,McDonald's Collection 2019,1,Holofoil,Near Mint,,https://images.pokemontcg.io/mcd19/1.png
Absol G,Supreme Victors,1,Holofoil,Damaged,2.98,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Heavily Played,3.07,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Moderately Played,8.22,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Lightly Played,9.09,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Holofoil,Near Mint,15.37,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Damaged,2.98,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Heavily Played,3.07,https://images.pokemontcg.io/pl3/1.png
Absol G,Supreme Victors,1,Reverse Holofoil,Moderately Played,8.22,https://images.pokemontcg.io/pl3/1.png
